ProductID,Date,Zip,Units,Revenue,Country
725,15-Jan-99,41540,1,115.45,Germany
787,06-Jun-02,41540,1,314.95,Germany
788,06-Jun-02,41540,1,314.95,Germany
940,15-Jan-99,22587,1,687.7,Germany
396,15-Jan-99,22587,1,857.06,Germany
734,04-Oct-03,22587,1,330.7,Germany
769,15-Feb-99,22587,1,257.2,Germany
499,15-Jan-99,12555,1,846.3,Germany
2254,15-Jan-99,40217,1,57.7,Germany
31,31-May-02,40217,1,761.25,Germany
475,15-Feb-99,13583,1,970.2,Germany
510,15-Jan-99,22337,1,837.11,Germany
499,06-May-02,22337,1,883.05,Germany
289,15-Feb-99,13587,1,865.99,Germany
702,15-Feb-99,13587,1,286.07,Germany
910,15-Mar-99,13587,1,414.7,Germany
901,15-Feb-99,13587,2,818.9,Germany
550,15-Jan-99,22177,1,403.99,Germany
559,15-Jan-99,22177,1,585.64,Germany
767,06-Jul-02,22177,1,104.95,Germany
1000,04-Nov-03,13589,1,89.2,Germany
559,15-Jan-99,21129,1,585.64,Germany
716,04-Oct-03,21129,1,152.2,Germany
966,04-Oct-03,21129,1,472.45,Germany
604,15-Jan-99,42549,1,461.74,Germany
609,15-Jan-99,42549,1,778.84,Germany
2054,06-May-02,42549,1,545.95,Germany
2205,06-May-02,42549,1,157.45,Germany
2204,06-May-02,42549,1,157.45,Germany
2252,06-May-02,42549,1,136.45,Germany
2253,06-May-02,42549,1,136.45,Germany
574,06-Aug-02,13595,1,869.14,Germany
676,15-Jan-99,21107,2,1603.88,Germany
727,15-Jan-99,22149,1,62.95,Germany
472,04-Oct-03,22149,1,961.28,Germany
921,15-Jan-99,27499,1,524.95,Germany
946,31-May-02,27499,1,692.95,Germany
606,15-Feb-99,10119,1,314.74,Germany
1066,15-Jan-99,41066,1,296.57,Germany
1065,15-Jan-99,41066,1,296.57,Germany
559,06-Jun-02,41066,1,624.49,Germany
1188,15-Jan-99,22359,1,472.45,Germany
36,15-Feb-99,22359,1,414.75,Germany
1014,15-Feb-99,22359,1,86.57,Germany
2331,15-Jan-99,10243,1,535.45,Germany
532,15-Mar-99,10243,1,556.45,Germany
604,04-Oct-03,10243,2,989.63,Germany
647,04-Oct-03,10243,1,922.16,Germany
1014,31-May-02,10243,1,86.57,Germany
571,06-Nov-03,10243,1,527.1,Germany
1990,15-Jan-99,45138,1,257.2,Germany
2396,06-Oct-02,10245,1,89.2,Germany
906,04-Dec-03,10247,1,419.95,Germany
2240,13-Apr-03,10247,1,89.2,Germany
2241,13-Apr-03,10247,1,89.2,Germany
2400,13-Apr-03,10247,1,89.2,Germany
433,15-Feb-99,10247,1,804.3,Germany
475,15-Jan-99,45130,1,970.2,Germany
491,15-Jan-99,22761,1,815.33,Germany
769,31-May-02,22761,1,262.45,Germany
573,15-Feb-99,22761,1,280.61,Germany
631,15-Feb-99,10315,1,346.24,Germany
2254,15-Feb-99,10315,1,57.7,Germany
475,15-Feb-99,10315,1,970.2,Germany
2255,15-Feb-99,10315,1,57.7,Germany
604,15-Jan-99,10315,1,461.74,Germany
565,06-Mar-02,10315,1,881.74,Germany
573,15-Jan-99,22767,1,280.61,Germany
580,15-Feb-99,10318,1,734.74,Germany
609,15-Feb-99,10318,1,778.84,Germany
396,15-Feb-99,10318,1,857.06,Germany
550,06-Mar-02,10318,1,429.19,Germany
604,15-Jan-99,41469,1,461.74,Germany
491,15-Mar-99,10319,2,1630.65,Germany
725,31-May-02,10319,1,120.7,Germany
1215,15-Feb-99,10319,1,362.2,Germany
606,15-Feb-99,10319,1,314.74,Germany
609,15-Jan-99,22111,1,778.84,Germany
445,06-Jun-02,22111,1,860.48,Germany
676,15-Feb-99,22111,1,801.94,Germany
1975,15-Feb-99,10365,1,52.45,Germany
1081,15-Feb-99,10365,1,225.7,Germany
964,15-Mar-99,10365,1,346.45,Germany
2056,15-Mar-99,10365,1,320.2,Germany
533,06-Jul-02,10365,1,524.74,Germany
683,15-Jan-99,10365,1,788.03,Germany
396,15-Feb-99,10365,1,857.06,Germany
499,15-Feb-99,10367,1,851.55,Germany
676,15-Mar-99,10367,1,801.94,Germany
1017,06-Aug-02,10367,1,262.45,Germany
2407,15-Feb-99,10367,1,73.45,Germany
396,15-Feb-99,10367,1,857.06,Germany
574,31-May-02,40591,1,869.14,Germany
725,31-May-02,40591,1,120.7,Germany
1116,15-Feb-99,40591,1,251.95,Germany
396,15-Feb-99,40591,1,857.06,Germany
475,04-Dec-03,10407,1,1037.4,Germany
2375,13-Apr-03,10407,1,698.2,Germany
1911,15-Mar-99,10407,1,244.07,Germany
2094,15-Mar-99,10407,1,433.07,Germany
906,31-May-02,10407,1,419.95,Germany
691,06-Mar-02,10407,1,351.49,Germany
475,15-Feb-99,10407,1,970.2,Germany
2287,15-Feb-99,10407,1,839.95,Germany
513,15-Feb-99,10407,1,451.45,Germany
580,15-Feb-99,10407,1,734.74,Germany
739,31-May-02,41470,1,173.2,Germany
826,31-May-02,10409,1,944.95,Germany
609,06-Aug-02,10409,1,829.24,Germany
580,15-Feb-99,10409,1,734.74,Germany
475,06-Mar-02,10409,1,1007.21,Germany
767,31-May-02,41169,1,104.95,Germany
981,06-Jun-02,41169,1,157.45,Germany
475,15-Feb-99,10435,1,970.2,Germany
910,15-Mar-99,10435,2,829.4,Germany
559,04-Nov-03,10435,1,643.39,Germany
491,15-Jan-99,10435,1,815.33,Germany
758,31-May-02,10435,1,83.95,Germany
967,31-May-02,10435,1,671.95,Germany
1157,15-Mar-99,10435,1,377.95,Germany
645,15-Mar-99,10435,2,1493.1,Germany
475,06-Jul-02,10435,1,1007.21,Germany
475,15-Jan-99,10435,1,970.2,Germany
862,04-Oct-03,10435,2,608.9,Germany
488,04-Nov-03,10435,1,1098.56,Germany
785,31-May-02,10435,1,68.2,Germany
499,15-Feb-99,10435,2,1692.6,Germany
604,15-Feb-99,10435,1,461.74,Germany
826,31-May-02,40233,1,944.95,Germany
396,15-Jan-99,10551,1,857.06,Germany
